Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
"Hayes, Trujillo and Olson",User-centric systematic hardware,Won,9/5/23,8/24/23,Upsell,1200.0,No Known Campaign Source,,Business Organizations; Construction; Labor & Employment; Litigation; Other; Workers Compensation,11.0
"Wong, Avery and Smith",Reduced reciprocal knowledge user,Won,8/25/23,8/24/23,Upsell,1200.0,Check-in Call,,Arbitration,50.0
"Evans, Perez and Jenkins",Universal empowering secured line,Won,8/16/23,8/15/23,Upsell,1200.0,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13.0
Waters and Sons,Multi-tiered real-time capability,Won,8/14/23,8/11/23,Upsell,1200.0,Cold Call,,Family; International; Mediation,50.0
Cochran Inc,Sharable attitude-oriented parallelism,Won,8/10/23,8/10/23,Upsell,1200.0,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33.0
Burnett PLC,Quality-focused next generation utilization,Won,8/8/23,8/7/23,Upsell,1200.0,Check-in Call,,Arbitration,50.0
Hall LLC,Object-based bifurcated initiative,Won,8/7/23,8/7/23,Upsell,1200.0,Check-in Call,,,142.0
"Jones, Webb and Mcclain",Team-oriented solution-oriented service-desk,Won,8/1/23,8/1/23,Upsell,1200.0,Check-in Call,,Appellate; Commercial; Healthcare; Insurance; Litigation; Media; Other; Professional Malpractice,12.0
"Bautista, Chandler and Roman",Visionary object-oriented flexibility,Won,8/3/23,8/1/23,Upsell,1200.0,Check-in Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38.0
Gaines-Fuller,Cloned responsive interface,Won,7/19/23,7/19/23,Upsell,1200.0,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9.0
"Daniel, Cline and Lowe",Networked high-level intranet,Won,7/19/23,7/18/23,Upsell,1200.0,Check-in Call,,Arbitration,50.0
Reyes PLC,Upgradable demand-driven support,Won,7/18/23,7/17/23,Upsell,1200.0,Cold Call,,Arbitration; Commercial; Family; Insurance; Litigation; Maritime; Other; Transportation,17.0
Maddox-Wright,Front-line coherent Graphic Interface,Won,7/14/23,7/14/23,Upsell,1200.0,No Known Campaign Source,,Family,9.0
Ford Ltd,Right-sized demand-driven protocol,Won,7/6/23,7/6/23,Upsell,1200.0,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9.0
Kennedy-Jacobs,Advanced 5thgeneration matrix,Won,6/30/23,6/29/23,Upsell,1200.0,Check-in Call,,Arbitration,50.0
Hartman-Jimenez,Synergized clear-thinking budgetary management,Won,6/26/23,6/15/23,Upsell,1200.0,No Known Campaign Source,,Bankruptcy; Energy; Insurance; Litigation,32.0
"Torres, Ross and Brewer",Configurable web-enabled capability,Won,6/5/23,6/5/23,Upsell,1200.0,No Known Campaign Source,,,124.0
Hill-Clark,Synchronized national toolset,Won,5/31/23,5/31/23,Upsell,1200.0,Check-in Call,,Appellate; Aviation; Commercial; Construction; Insurance; Labor & Employment; Litigation; Product Liability; Transportation; Trial & Appellate Litigation,15.0
Thomas Ltd,Innovative motivating success,Won,5/24/23,5/24/23,Upsell,1200.0,Check-in Call,,Appellate; Business Organizations; Commercial; Insurance; Litigation; Other,16.0
Fisher-Moss,Fundamental regional forecast,Won,5/24/23,5/24/23,Upsell,1200.0,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
Holland-Turner,Persevering tertiary moderator,Won,5/16/23,5/16/23,Upsell,1200.0,Cold Call,,Family; Healthcare; Litigation; Mediation,4.0
Owen Inc,Digitized secondary implementation,Won,5/12/23,5/10/23,Upsell,1200.0,Cold Call,,Appellate; Criminal; Family; Finance & Banking; Litigation; Mediation; Other; Personal Injury; Real Estate; Trusts & Estates; Workers Compensation,15.0
"Rice, Mueller and Williams",Robust logistical middleware,Won,5/11/23,5/10/23,Upsell,1200.0,Cold Call,,Class Actions; Environmental; Franchise; Insurance; Intellectual Property; Litigation; Maritime; Other; Workers Compensation,31.0
Glover Ltd,Right-sized secondary matrix,Won,4/14/23,4/14/23,Upsell,1200.0,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41.0
Beasley Ltd,Open-architected background algorithm,Won,4/13/23,4/13/23,Upsell,1200.0,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33.0
Page PLC,Managed responsive attitude,Won,4/7/23,4/7/23,Upsell,1200.0,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41.0
Burgess Group,Multi-channeled zero administration leverage,Won,3/1/23,3/1/23,Upsell,1200.0,Cold Call,,Antitrust,40.0
Robinson Group,Upgradable value-added archive,Won,2/15/23,2/15/23,Upsell,1200.0,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33.0
Farmer Ltd,Focused analyzing orchestration,Won,3/29/23,2/10/23,Upsell,1200.0,Check-in Call,,Arbitration; Bankruptcy; Corporate & Securities; Cybersecurity; Energy; Environmental; FDA; Finance & Banking; Government; Healthcare; Insurance; Intellectual Property; Labor & Employment; Other; Restructuring; Sports,43.0
Jordan PLC,Implemented tangible pricing structure,Open,12/2/24,9/30/24,New,1260.0,WR-Demo Request-Website-SurePoint.com-PG1142A1,,,14.0
Ortiz-Baker,Streamlined systematic task-force,Won,1/23/24,1/23/24,Upsell,1260.0,No Known Campaign Source,,Construction; Corporate Governance; Criminal; Family; Insurance; Land Use & Zoning; Litigation; Mediation; Nonprofit Organizations; Product Liability; Professional Responsibility; Real Estate; Trusts & Estates,46.0
"Perez, Smith and Vega",Progressive mobile support,Won,8/1/23,7/29/23,Upsell,1260.0,Cold Call,,,80.0
"Miller, Randolph and Vasquez",Self-enabling high-level open architecture,Won,5/7/24,5/7/24,Upsell,1419.36,Cold Call,,Business Organizations; Trusts & Estates; Workers Compensation,30.0
"Charles, French and Hayes",Versatile value-added challenge,Won,3/1/24,3/14/24,Upsell,1440.0,Cold Call,,Administrative; Construction; Corporate & Securities; Environmental; Finance & Banking; Regulatory,307.0
Schultz Inc,Pre-emptive modular website,Won,1/31/23,1/30/23,Upsell,1440.0,Cold Call,,Corporate & Securities; Corporate Governance; Intellectual Property; Media; Other; Real Estate,22.0
Owens-Horn,Fundamental empowering knowledge user,Lost,2/2/23,7/20/22,Upsell,1647.0,No Known Campaign Source,Price (Provide Details),,42.0
Jones Group,Self-enabling intangible Internet solution,Won,4/17/24,4/17/24,Upsell,1800.0,No Known Campaign Source,,Bankruptcy; Commercial; Corporate & Securities,63.0
Hernandez LLC,Extended bi-directional process improvement,Won,12/13/23,12/13/23,Upsell,1800.0,No Known Campaign Source,,,42.0
Morgan PLC,Progressive systematic moderator,Won,6/15/23,6/15/23,Upsell,1800.0,No Known Campaign Source,,Communications; Copyright; Media,72.0
"Ferguson, Turner and Harris",Profit-focused discrete model,Won,4/18/23,4/18/23,Upsell,1800.0,No Known Campaign Source,,,124.0
Sellers-Carrillo,Compatible zero administration conglomeration,Lost,1/23/24,2/27/23,Upsell,1800.0,Check-in Call,Inertia (Provide Details),Bankruptcy; Commercial; Corporate & Securities,63.0
Morales-Robinson,Customizable analyzing concept,Won,1/9/23,1/9/23,Upsell,1800.0,No Known Campaign Source,,Communications; Copyright; Media,72.0
Jones-Jenkins,Focused attitude-oriented knowledgebase,Won,9/13/23,9/13/23,Upsell,1875.0,Service Orders,,Bankruptcy; Environmental; Finance & Banking,54.0
"Clark, Gonzales and Acevedo",Monitored 4thgeneration utilization,Lost,1/2/24,7/20/22,Upsell,2004.96,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Franchise; Real Estate,47.0
"Pratt, Malone and Walton",Object-based human-resource approach,Lost,11/8/23,8/18/22,Upsell,2034.0,No Known Campaign Source,Inertia (Provide Details),,
Williams and Sons,Team-oriented solution-oriented instruction set,Won,4/7/23,3/29/23,Upsell,2100.0,Cold Call,,Construction; Labor & Employment; Litigation; Maritime; Natural Resources; Other,26.0
Barnes Inc,Pre-emptive 24hour workforce,Lost,7/7/23,7/19/22,Upsell,2397.96,No Known Campaign Source,Feature (Provide Details),,33.0
Chavez Group,Visionary context-sensitive data-warehouse,Won,10/8/24,10/8/24,Upsell,2400.0,No Known Campaign Source,,Family,6.0
"Wallace, Turner and Winters",Assimilated tertiary knowledgebase,Won,9/10/24,9/10/24,Upsell,2400.0,Cold Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
"Bush, Hammond and Mason",Quality-focused explicit frame,Won,9/3/24,9/3/24,Upsell,2400.0,Cold Call,,Appellate; Bankruptcy; Construction; Energy; Environmental; Labor & Employment; Litigation; Other; Real Estate,30.0
"Frederick, Cervantes and Jones",Polarized zero tolerance info-mediaries,Won,7/23/24,7/23/24,Upsell,2400.0,No Known Campaign Source,,Appellate,26.0
Dyer LLC,Business-focused 24/7 knowledgebase,Won,7/16/24,7/22/24,Upsell,2400.0,Cold Call,,Arbitration; Commercial; Family; Insurance; Litigation; Maritime; Other; Transportation,17.0
Farley LLC,Reverse-engineered scalable collaboration,Won,6/21/24,6/21/24,Upsell,2400.0,No Known Campaign Source,,Business Organizations; Class Actions; Education; Other,37.0
Phillips Ltd,Persevering local database,Won,6/5/24,6/5/24,Upsell,2400.0,Cold Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
Johnson-Lee,Fundamental even-keeled concept,Won,5/21/24,5/21/24,Upsell,2400.0,Cold Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
"Bates, Khan and Richard",Synchronized interactive instruction set,Won,5/15/24,5/15/24,Upsell,2400.0,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24.0
Olson-Vargas,Optimized heuristic instruction set,Won,5/10/24,5/13/24,Upsell,2400.0,Cold Call,,Commercial; Insurance; Maritime; Other; Transportation; Trusts & Estates,53.0
Calhoun PLC,Public-key asymmetric migration,Won,5/6/24,5/6/24,Upsell,2400.0,Cold Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
"Davis, Lee and Townsend",Optimized asymmetric algorithm,Won,5/2/24,5/2/24,Upsell,2400.0,Check-in Call,,Elder; Healthcare; Personal Injury,75.0
Buckley-Brewer,Re-contextualized analyzing installation,Won,4/25/24,4/25/24,Upsell,2400.0,No Known Campaign Source,,Business Organizations; Class Actions; Education; Other,37.0
Hernandez Ltd,Integrated dynamic frame,Won,4/17/24,4/17/24,Upsell,2400.0,No Known Campaign Source,,Aviation; Corporate & Securities; FDA; Intellectual Property; Labor & Employment; Litigation; Media; Other; Real Estate,35.0
Frye Ltd,Profound maximized monitoring,Won,4/10/24,4/10/24,Upsell,2400.0,Cold Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38.0
"Miller, Wilson and Norton",Automated real-time architecture,Won,3/22/24,3/24/24,Upsell,2400.0,Cold Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110.0
Mckinney-Guerra,Compatible clear-thinking solution,Won,3/20/24,3/20/24,Upsell,2400.0,No Known Campaign Source,,Class Actions; Environmental; Other; Personal Injury; Product Liability; Transportation,35.0
"Brennan, Preston and Brown",Persevering 24/7 conglomeration,Won,3/11/24,3/18/24,Upsell,2400.0,Cold Call,,Business Organizations; Class Actions; Education; Other,37.0
Vaughan-Thompson,Mandatory motivating concept,Won,2/15/24,2/15/24,Upsell,2400.0,Cold Call,,Arbitration,50.0
Higgins-Woods,Secured exuding synergy,Won,1/3/24,1/3/24,Upsell,2400.0,No Known Campaign Source,,Family; International; Mediation,50.0
Cline-Nelson,Assimilated methodical model,Won,12/18/23,12/18/23,Upsell,2400.0,No Known Campaign Source,,Aviation; Corporate & Securities; FDA; Intellectual Property; Labor & Employment; Litigation; Media; Other; Real Estate,35.0
